category,count
Antoni Tàpies,3
Alexandra Exter,3
Yves Klein,2
William Copley,2
William Baziotes,2
Walter Richard Sickert,2
Walter Quirt,2
Wade Guyton,2
Thomas Chimes,2
Terry Winters,2
Tauba Auerbach,2
Tadasky (Tadasuke Kuwayama),2
Sue Coe,2
Shusaku Arakawa,2
Sam Gilliam,2
Rubén Núñez,2
Rubem Valentim,2
Ross Bleckner,2
Ronald Bladen,2
Romare Bearden,2
Robert Moskowitz,2
Robert Goodnough,2
Robert Barry,2
Richard Lindner,2
Richard Anuszkiewicz,2
René Pierre Tal-Coat,2
Raymond Parker,2
Ralph Humphrey,2
R. B. Kitaj,2
Preston Dickinson,2
Pierre Soulages,2
Piero Manzoni,2
Peter Young,2
Per Kirkeby,2
Paul Signac,2
Paul Burlin,2
Patrick J. Sullivan,2
Otto Freundlich,2
Niele Toroni,2
Natalia Goncharova,2
Nam June Paik,2
Mordecai Ardon,2
Moke,2
Milton Resnick,2
Milton Avery,2
Mikhail Larionov,2
Michel Parmentier,2
Michel Majerus,2
Maurice Sterne,2
Matt Connors,2
Mary Heilmann,2
Martin Kippenberger,2
Marsden Hartley,2
Marlow Moss,2
Mark Grotjahn,2
Mark Bradford,2
Maria Helena Vieira da Silva,2
Malcolm Morley,2
Lucy McKenzie,2
Lucio Fontana,2
Lucian Freud,2
Louis Vivin,2
Llyn Foulkes,2
Liubov Popova,2
Leonora Carrington,2
Leon Polk Smith,2
Leon Golub,2
Lawrence Weiner,2
Knud Merrild,2
Kerstin Brätsch,2
Kerry James Marshall,2
Kelley Walker,2
Kay Sage,2
Karl Schmidt-Rottluff,2
Jutta Koether,2
Julie Mehretu,2
Julian Schnabel,2
Johannes Itten,2
Joan Brown,2
Jimmy Ernst,2
Jim Nutt,2
Jean Metzinger,2
Jean Charlot,2
Janet Sobel,2
James Ensor,2
James Brooks,2
Jack Youngerman,2
Jack Tworkov,2
Jack Levine,2
Irene Rice Pereira,2
Ilya Bolotowsky,2
Hyman Bloom,2
Howard Hodgkin,2
Hisao Domoto,2
Henry Taylor,2
Henri Rousseau,2
Hedda Sterne,2
Gustav Klimt,2
Günther Förg,2
Guillermo Kuitca,2
Glenn Ligon,2
Georges Vantongerloo,2
Georges Rouault,2
George Maciunas,2
Fritz Glarner,2
Friedrich Vordemberge-Gildewart,2
Francesco Clemente,2
Forrest Bess,2
Florine Stettheimer,2
Fernando Botero,2
Fairfield Porter,2
Esteban Vicente,2
Ernst Ludwig Kirchner,2
Eric Fischl,2
Enrico Donati,2
El Lissitzky,2
Edwin Dickinson,2
Eduardo Costa,2
Edda Renouf,2
Dimitri Petrovich Plavinsky,2
David Wojnarowicz,2
David Salle,2
David Novros,2
David Hockney,2
Clyfford Still,2
Christopher Wool,2
Christian Bérard,2
Charles Sheeler,2
César Paternosto,2
Carroll Dunham,2
Carlos González Bogen,2
Carlo Carrà,2
Camille Graeser,2
Bob Kane,2
Betye Saar,2
Beauford Delaney,2
Balcomb Greene,2
Arthur B. Davies,2
Armando Reverón,2
André Bauchant,2
Amelia Peláez Del Casal,2
Amedeo Modigliani,2
Alton Pickens,2
Allan D'Arcangelo,2
Alighiero Boetti,2
Alice Neel,2
Alfredo Hlito,2
Alexander Liberman,2
Aleksandr Rodchenko,2
Albert York,2
Alan Davie,2
Agustín Fernández,2
Agam (Yaacov Agam),2
Afro (Afro Basaldella),2
Abraham Palatnik,2
Zoran Mušič,1
Zilia Sánchez,1
Zbigniew Makowski,1
Yvonne Jacquette,1
Yinka Shonibare,1
Yente,1
Yayoi Kusama,1
Yasuo Kuniyoshi,1
Wols (A. O. Wolfgang Schulze),1
Wolfgang Paalen,1
Wojciech Fangor,1
Wladyslaw Strzemiński,1
Wilson Bigaud,1
William T. Williams,1
William Scott,1
William Ronald,1
William Kurelek,1
William H. Johnson,1
William Gropper,1
William Doriani,1
William Congdon,1
William Bailey,1
Will Insley,1
Will Barnet,1
Wilhelm Sasnal,1
Wayne Thiebaud,1
Walter William Barker,1
Walter Stuempfig,1
Walter Dexel,1
